nr,osoba,werdykt,connection,post,comment
47,Przemysław Bernadzki,maybe,"Jedyny rekord PKW: kandydat z KWW LOKALNY PAKT SAMORZADOWY w powiecie wegorzewskim w 2024 (teryt 281900, ur. 1964), bez mandatu. Komitet wyborcow, nie partia; powiat sasiedni wzgledem Gizycka. | ZRODLO: wykaz kandydatow PKW (person_pkw, kanal oficjalny)","Czlonek rady nadzorczej GIZYCKIEJ OCHRONY ZDROWIA sp. z o.o. (KRS 0000822215, publiczna) od 2026-08-05; potwierdzone, PESEL z cyfra 6 - zgodne z rocznikiem 1964. Piec dni wczesniej, 2026-07-31, wszedl tez do rady nadzorczej Zakladu Unieszkodliwiania Odpadow Komunalnych Spytkowo sp. z o.o. (KRS 0000346147; w bazie is_public=false, choc to spolka gmin mazurskich). ZRODLO: odpis aktualny KRS 0000822215, stan 05.08.2026, api-krs.ms.gov.pl","verdict=maybe || TEZA: dwie rady nadzorcze spolek publicznych w ciagu szesciu dni, u czlowieka, ktorego jedynym sladem politycznym jest przegrana kandydatura z lokalnego komitetu. || UWAGA: zlaczenie jest dobre (jeden rekord w PKW, zgodny rocznik, sasiedni powiat), powiazanie slabe. Warto tez odnotowac, ze Gizycka Ochrona Zdrowia to spolka z o.o., a nie SPZOZ - ma rade nadzorcza, wiec pulapka nr 1 nie dziala, mimo ze nazwa brzmi jak szpital."
48,Artur Kachel,skip,"Jedyny rekord PKW zgodny z dekada to kandydatura SLD z 2010 w powiecie ryckim na Lubelszczyznie (teryt 061604, ur. 1978), a cech jest w Lublincu na Slasku - 350 km dalej. | ZRODLO: wykaz kandydatow PKW (person_pkw, kanal oficjalny)","Czlonek KOMISJI REWIZYJNEJ POWIATOWEGO CECHU RZEMIOSL I PRZEDSIEBIORCZOSCI IM. WALENTEGO ROZDZIENSKIEGO w Lublincu (KRS 0000059490) od 2026-08-05; potwierdzone w odpisie z rejestru S. ZRODLO: odpis aktualny KRS 0000059490 (rejestr S), stan 05.08.2026, api-krs.ms.gov.pl","verdict=skip || TEZA: brak. || UWAGA: wiersz umiera na pracodawcy. Cech rzemieslniczy to organizacja samorzadu gospodarczego, nie podmiot publiczny - is_public=false i komisja rewizyjna zamiast rady nadzorczej, co w rejestrze jest widoczne wprost i nie jest znanym falszywym negatywem. Trzy z 64 sierpniowych wierszy to jedna zmiana wladz tego samego cechu tego samego dnia."
49,Łukasz Tabor,skip,"Jedyny rekord PKW to kandydatura z 2014 z KWW PRO w kujawsko-pomorskiem (teryt 041402, ur. 1983); cech jest w Lublincu. | ZRODLO: wykaz kandydatow PKW (person_pkw, kanal oficjalny)","Czlonek zarzadu POWIATOWEGO CECHU RZEMIOSL I PRZEDSIEBIORCZOSCI IM. WALENTEGO ROZDZIENSKIEGO w Lublincu (KRS 0000059490) od 2026-08-05; potwierdzone w odpisie z rejestru S. ZRODLO: odpis aktualny KRS 0000059490 (rejestr S), stan 05.08.2026, api-krs.ms.gov.pl","verdict=skip || TEZA: brak. || UWAGA: wiersz umiera na pracodawcy. Cech rzemieslniczy to organizacja samorzadu gospodarczego, nie podmiot publiczny - is_public=false i komisja rewizyjna zamiast rady nadzorczej, co w rejestrze jest widoczne wprost i nie jest znanym falszywym negatywem. Trzy z 64 sierpniowych wierszy to jedna zmiana wladz tego samego cechu tego samego dnia."
50,Maciej Janas,skip,"Rekord PKW pasuje geograficznie: KWW FORUM PRAWICY ZIEMI LUBLINIECKIEJ, powiat lubliniecki (teryt 240700), ur. 1968, bez mandatu - ale to komitet wyborcow, nie partia. | ZRODLO: wykaz kandydatow PKW (person_pkw, kanal oficjalny)","Czlonek zarzadu POWIATOWEGO CECHU RZEMIOSL I PRZEDSIEBIORCZOSCI IM. WALENTEGO ROZDZIENSKIEGO w Lublincu (KRS 0000059490) od 2026-08-05; potwierdzone w odpisie z rejestru S. ZRODLO: odpis aktualny KRS 0000059490 (rejestr S), stan 05.08.2026, api-krs.ms.gov.pl","verdict=skip || TEZA: brak. || UWAGA: wiersz umiera na pracodawcy. Cech rzemieslniczy to organizacja samorzadu gospodarczego, nie podmiot publiczny - is_public=false i komisja rewizyjna zamiast rady nadzorczej, co w rejestrze jest widoczne wprost i nie jest znanym falszywym negatywem. Trzy z 64 sierpniowych wierszy to jedna zmiana wladz tego samego cechu tego samego dnia."
51,Małgorzata Wieczorek,skip,"Kandydatka KOMITETU WYBORCZEGO POLSKIEGO STRONNICTWA LUDOWEGO do rady powiatu wolsztynskiego w 2002 (teryt 302902, ur. 1968) - lista partyjna i ten sam powiat co pracodawca, czyli najlepsze zlaczenie z calej piatki cechowej. | ZRODLO: wykaz kandydatow PKW (person_pkw, kanal oficjalny) - 26 rekordow tego imienia i nazwiska, 17 odrzuconych po dekadzie.","II Podstarszy (czlonkini zarzadu) CECHU RZEMIOSL ROZNYCH W WOLSZTYNIE (KRS 0000083847) od 2026-08-05; potwierdzone w odpisie z rejestru S, PESEL z cyfra 6 - zgodne z rocznikiem 1968. ZRODLO: odpis aktualny KRS 0000083847 (rejestr S), stan 05.08.2026, api-krs.ms.gov.pl","verdict=skip || TEZA: brak - i to szkoda, bo powiazanie akurat tu jest: lista PSL, ten sam powiat, zgodny rocznik. || UWAGA: wiersz umiera wylacznie na pracodawcy. Cech rzemieslniczy nie jest podmiotem publicznym, wiec funkcja ""II Podstarszy"" to wybor we wladzach organizacji branzowej, a nie posada z nadania. Gdyby ta sama osoba pojawila sie kiedys w spolce komunalnej Wolsztyna, to zlaczenie jest juz zrobione i wystarczy je odczytac."
52,Jerzy Stachyra,ODRZUCONE,"Deklarowany czlonek dwoch roznych partii w odstepie dwunastu lat: czlonek Prawa i Sprawiedliwosci przy kandydaturze do Sejmu w 2011, czlonek Platformy Obywatelskiej RP przy kandydaturze do Sejmu w 2023. Radny powiatu zgorzeleckiego WYBRANY w 2010 z listy PiS i ponownie WYBRANY w 2024 z listy KKW Koalicja Obywatelska; miedzy nimi dwa razy z lokalnego komitetu Bogatynia Odnowa (ur. 1971/1972). | ZRODLO: wykaz kandydatow PKW (person_pkw, kanal oficjalny) - osiem kandydatur zgodnych z dekada, wszystkie z powiatu zgorzeleckiego albo okregu dolnoslaskiego.","Czlonek/czlonkini RADY SPOLECZNEJ Samodzielnego Publicznego Zespolu Opieki Zdrowotnej w Bogatyni (KRS 0000056231) od 2026-08-04. Potwierdzone w odpisie z rejestru S: jedynym organem nadzoru tego podmiotu jest RADA SPOLECZNA, i to w jej siedmioosobowym skladzie znajduje sie dopasowanie, PESEL z cyfra 7. To jedyna posada tej osoby w danych strony. ZRODLO: odpis aktualny KRS 0000056231 (rejestr S), stan 04.08.2026, api-krs.ms.gov.pl","verdict=ODRZUCONE || TEZA: byla mocna - czynny radny Bogatyni w organie nadzorczym bogatynskiego szpitala, ktorego wlascicielem jest gmina, w ktorej ma mandat. || UWAGA: zabila go pulapka nr 1, i to w najostrzejszej postaci, jaka widzialem. Strona renderuje ten organ jako ""Rada Nadzorcza"", ale rejestr nazywa go RADA SPOLECZNA, a polityka strony rady spoleczne SPZOZ wyklucza. Cala siedmioosobowa rada spoleczna SPZOZ w Bogatyni zostala powolana 4 sierpnia 2026 i wszystkie siedem osob trafilo do tej listy - to nr 52-58, czyli 11% calej sierpniowej setki i trzy z piatki najwyzej ocenionych osob. Zaden z nich nie ma innej posady, wiec nie zostaje nic do opublikowania. Jesli kiedys polityka wobec rad spolecznych sie zmieni, ta siodemka jest gotowa do odwieszenia bez ponownego badania."
53,Wojciech Dobrołowicz,ODRZUCONE,"Deklarowany czlonek Prawa i Sprawiedliwosci - dwukrotnie, przy kandydaturze do Sejmu w 2023 i przy wyborach samorzadowych w 2024, w ktorych zostal WYBRANY z wlasnego komitetu KWW WOJCIECHA DOBROLOWICZA w Bogatyni. Kandydowal w Bogatyni takze w 2010, 2014 i 2018 (ur. 1984/1985). | ZRODLO: wykaz kandydatow PKW (person_pkw, kanal oficjalny) - piec kandydatur, wszystkie zgodne z dekada i wszystkie z Bogatyni albo okregu dolnoslaskiego.","Czlonek/czlonkini RADY SPOLECZNEJ Samodzielnego Publicznego Zespolu Opieki Zdrowotnej w Bogatyni (KRS 0000056231) od 2026-08-04. Potwierdzone w odpisie z rejestru S: jedynym organem nadzoru tego podmiotu jest RADA SPOLECZNA, i to w jej siedmioosobowym skladzie znajduje sie dopasowanie, PESEL z cyfra 8. To jedyna posada tej osoby w danych strony. ZRODLO: odpis aktualny KRS 0000056231 (rejestr S), stan 04.08.2026, api-krs.ms.gov.pl","verdict=ODRZUCONE || TEZA: byla mocna - czynny radny Bogatyni w organie nadzorczym bogatynskiego szpitala, ktorego wlascicielem jest gmina, w ktorej ma mandat. || UWAGA: zabila go pulapka nr 1, i to w najostrzejszej postaci, jaka widzialem. Strona renderuje ten organ jako ""Rada Nadzorcza"", ale rejestr nazywa go RADA SPOLECZNA, a polityka strony rady spoleczne SPZOZ wyklucza. Cala siedmioosobowa rada spoleczna SPZOZ w Bogatyni zostala powolana 4 sierpnia 2026 i wszystkie siedem osob trafilo do tej listy - to nr 52-58, czyli 11% calej sierpniowej setki i trzy z piatki najwyzej ocenionych osob. Zaden z nich nie ma innej posady, wiec nie zostaje nic do opublikowania. Jesli kiedys polityka wobec rad spolecznych sie zmieni, ta siodemka jest gotowa do odwieszenia bez ponownego badania."
54,Artur Oliasz,ODRZUCONE,"Deklarowany czlonek Sojuszu Lewicy Demokratycznej (2010) i Nowej Lewicy (2024). Radny Bogatyni WYBRANY w 2010 z listy SLD i ponownie WYBRANY w 2024 z KWW Ponad Podzialami; kandydowal w Bogatyni nieprzerwanie od 1998, zawsze z lewicy albo z lokalnych komitetow (ur. 1968/1969). | ZRODLO: wykaz kandydatow PKW (person_pkw, kanal oficjalny) - dziesiec kandydatur, dziewiec z samej Bogatyni (teryt 022503).","Czlonek/czlonkini RADY SPOLECZNEJ Samodzielnego Publicznego Zespolu Opieki Zdrowotnej w Bogatyni (KRS 0000056231) od 2026-08-04. Potwierdzone w odpisie z rejestru S: jedynym organem nadzoru tego podmiotu jest RADA SPOLECZNA, i to w jej siedmioosobowym skladzie znajduje sie dopasowanie, PESEL z cyfra 6. To jedyna posada tej osoby w danych strony. ZRODLO: odpis aktualny KRS 0000056231 (rejestr S), stan 04.08.2026, api-krs.ms.gov.pl","verdict=ODRZUCONE || TEZA: byla mocna - czynny radny Bogatyni w organie nadzorczym bogatynskiego szpitala, ktorego wlascicielem jest gmina, w ktorej ma mandat. || UWAGA: zabila go pulapka nr 1, i to w najostrzejszej postaci, jaka widzialem. Strona renderuje ten organ jako ""Rada Nadzorcza"", ale rejestr nazywa go RADA SPOLECZNA, a polityka strony rady spoleczne SPZOZ wyklucza. Cala siedmioosobowa rada spoleczna SPZOZ w Bogatyni zostala powolana 4 sierpnia 2026 i wszystkie siedem osob trafilo do tej listy - to nr 52-58, czyli 11% calej sierpniowej setki i trzy z piatki najwyzej ocenionych osob. Zaden z nich nie ma innej posady, wiec nie zostaje nic do opublikowania. Jesli kiedys polityka wobec rad spolecznych sie zmieni, ta siodemka jest gotowa do odwieszenia bez ponownego badania."
55,Dominik Zawada,ODRZUCONE,"Radny Bogatyni WYBRANY w 2024 z KWW BOGATYNIA MOZE WIECEJ; wczesniej kandydat z KWW Wojciecha Blasiaka w 2018 (teryt 022503, ur. 1982/1983). Mandat z wyboru, biezacy - ale z komitetu wyborcow, nie z listy partyjnej. | ZRODLO: wykaz kandydatow PKW (person_pkw, kanal oficjalny) - dwie kandydatury zgodne z dekada, obie z Bogatyni.","Czlonek/czlonkini RADY SPOLECZNEJ Samodzielnego Publicznego Zespolu Opieki Zdrowotnej w Bogatyni (KRS 0000056231) od 2026-08-04. Potwierdzone w odpisie z rejestru S: jedynym organem nadzoru tego podmiotu jest RADA SPOLECZNA, i to w jej siedmioosobowym skladzie znajduje sie dopasowanie, PESEL z cyfra 8. To jedyna posada tej osoby w danych strony. ZRODLO: odpis aktualny KRS 0000056231 (rejestr S), stan 04.08.2026, api-krs.ms.gov.pl","verdict=ODRZUCONE || TEZA: byla mocna - czynny radny Bogatyni w organie nadzorczym bogatynskiego szpitala, ktorego wlascicielem jest gmina, w ktorej ma mandat. || UWAGA: zabila go pulapka nr 1, i to w najostrzejszej postaci, jaka widzialem. Strona renderuje ten organ jako ""Rada Nadzorcza"", ale rejestr nazywa go RADA SPOLECZNA, a polityka strony rady spoleczne SPZOZ wyklucza. Cala siedmioosobowa rada spoleczna SPZOZ w Bogatyni zostala powolana 4 sierpnia 2026 i wszystkie siedem osob trafilo do tej listy - to nr 52-58, czyli 11% calej sierpniowej setki i trzy z piatki najwyzej ocenionych osob. Zaden z nich nie ma innej posady, wiec nie zostaje nic do opublikowania. Jesli kiedys polityka wobec rad spolecznych sie zmieni, ta siodemka jest gotowa do odwieszenia bez ponownego badania."
56,Patrycja Kuzioła,skip,"BRAK powiazania politycznego. W wykazie PKW nie ma ani jednego rekordu tego imienia i nazwiska zgodnego z dekada urodzenia, ktora wynika z PESEL-a we wpisie KRS. | ZRODLO: wykaz kandydatow PKW (person_pkw, kanal oficjalny) To jedyna osoba z siedmioosobowej rady spolecznej SPZOZ w Bogatyni, ktora nie ma zadnej kandydatury.","Czlonkini RADY SPOLECZNEJ Samodzielnego Publicznego Zespolu Opieki Zdrowotnej w Bogatyni (KRS 0000056231) od 2026-08-04; potwierdzone w odpisie z rejestru S, PESEL z cyfra 8. ZRODLO: odpis aktualny KRS 0000056231 (rejestr S), stan 04.08.2026, api-krs.ms.gov.pl","verdict=skip || TEZA: brak. || UWAGA: skip, a nie ODRZUCONE, bo tu nie bylo czego odrzucac - wiersz umiera na braku powiazania jeszcze zanim dojdzie do pulapki rady spolecznej, ktora i tak by go zabila. Pozostala szostka z tej samej rady (nr 52-55, 57, 58) ma mandaty z wyboru i figuruje jako ODRZUCONE."
57,Edyta Małkiewicz,ODRZUCONE,"Radna Bogatyni WYBRANA w 2024 z KWW WOJCIECHA DOBROLOWICZA - tego samego komitetu, ktory zalozyl Wojciech Dobrolowicz (nr 53 tej listy), deklarowany czlonek PiS. Mandat biezacy (teryt 022503, ur. 1972). | ZRODLO: wykaz kandydatow PKW (person_pkw, kanal oficjalny) - jedna kandydatura, z Bogatyni, zgodna z dekada.","Czlonek/czlonkini RADY SPOLECZNEJ Samodzielnego Publicznego Zespolu Opieki Zdrowotnej w Bogatyni (KRS 0000056231) od 2026-08-04. Potwierdzone w odpisie z rejestru S: jedynym organem nadzoru tego podmiotu jest RADA SPOLECZNA, i to w jej siedmioosobowym skladzie znajduje sie dopasowanie, PESEL z cyfra 7. To jedyna posada tej osoby w danych strony. ZRODLO: odpis aktualny KRS 0000056231 (rejestr S), stan 04.08.2026, api-krs.ms.gov.pl","verdict=ODRZUCONE || TEZA: byla mocna - czynny radny Bogatyni w organie nadzorczym bogatynskiego szpitala, ktorego wlascicielem jest gmina, w ktorej ma mandat. || UWAGA: zabila go pulapka nr 1, i to w najostrzejszej postaci, jaka widzialem. Strona renderuje ten organ jako ""Rada Nadzorcza"", ale rejestr nazywa go RADA SPOLECZNA, a polityka strony rady spoleczne SPZOZ wyklucza. Cala siedmioosobowa rada spoleczna SPZOZ w Bogatyni zostala powolana 4 sierpnia 2026 i wszystkie siedem osob trafilo do tej listy - to nr 52-58, czyli 11% calej sierpniowej setki i trzy z piatki najwyzej ocenionych osob. Zaden z nich nie ma innej posady, wiec nie zostaje nic do opublikowania. Jesli kiedys polityka wobec rad spolecznych sie zmieni, ta siodemka jest gotowa do odwieszenia bez ponownego badania."
58,Hanna Mutlu,ODRZUCONE,"Radna Bogatyni WYBRANA w 2024 z KWW BOGATYNIA MOZE WIECEJ - tego samego komitetu co Dominik Zawada (nr 55). Mandat biezacy (teryt 022503, ur. 1989). | ZRODLO: wykaz kandydatow PKW (person_pkw, kanal oficjalny) - jedna kandydatura, z Bogatyni, zgodna z dekada.","Czlonek/czlonkini RADY SPOLECZNEJ Samodzielnego Publicznego Zespolu Opieki Zdrowotnej w Bogatyni (KRS 0000056231) od 2026-08-04. Potwierdzone w odpisie z rejestru S: jedynym organem nadzoru tego podmiotu jest RADA SPOLECZNA, i to w jej siedmioosobowym skladzie znajduje sie dopasowanie, PESEL z cyfra 8. To jedyna posada tej osoby w danych strony. ZRODLO: odpis aktualny KRS 0000056231 (rejestr S), stan 04.08.2026, api-krs.ms.gov.pl","verdict=ODRZUCONE || TEZA: byla mocna - czynny radny Bogatyni w organie nadzorczym bogatynskiego szpitala, ktorego wlascicielem jest gmina, w ktorej ma mandat. || UWAGA: zabila go pulapka nr 1, i to w najostrzejszej postaci, jaka widzialem. Strona renderuje ten organ jako ""Rada Nadzorcza"", ale rejestr nazywa go RADA SPOLECZNA, a polityka strony rady spoleczne SPZOZ wyklucza. Cala siedmioosobowa rada spoleczna SPZOZ w Bogatyni zostala powolana 4 sierpnia 2026 i wszystkie siedem osob trafilo do tej listy - to nr 52-58, czyli 11% calej sierpniowej setki i trzy z piatki najwyzej ocenionych osob. Zaden z nich nie ma innej posady, wiec nie zostaje nic do opublikowania. Jesli kiedys polityka wobec rad spolecznych sie zmieni, ta siodemka jest gotowa do odwieszenia bez ponownego badania."
59,Janusz Grządziel,skip,"Trzy rekordy zgodne z dekada, wszystkie z Podkarpacia i wszystkie z komitetow wyborcow: Podkarpackie Forum Samorzadowe (2002, ur. 1969) oraz Zjednoczeni Samorzadowcy Ziemi Sanockiej (2002 i 2010, ur. 1962). Zadnej listy partyjnej, zadnego mandatu. | ZRODLO: wykaz kandydatow PKW (person_pkw, kanal oficjalny)","Czlonek rady nadzorczej PRZEDSIEBIORSTWA WODOCIAGOW I KANALIZACJI sp. z o.o. w Krosnie (KRS 0000092068, publiczna) od 2026-08-04; potwierdzone, PESEL z cyfra 6. ZRODLO: odpis aktualny KRS 0000092068, stan 04.08.2026, api-krs.ms.gov.pl","verdict=skip || TEZA: brak. || UWAGA: dwa z trzech rekordow maja rocznik 1962, a jeden 1969 - obydwa mieszcza sie w dekadzie z PESEL-a, wiec nawet zlaczenia miedzy soba nie da sie rozstrzygnac. Sanok i Krosno to sasiednie powiaty, wiec to moze byc ta sama osoba; nie zmienia to jednak tego, ze nigdzie nie ma partii."
60,Zbigniew Sobolewski,skip,"Jedyny rekord zgodny z dekada: kandydat KW Samoobrona Rzeczypospolitej Polskiej do sejmiku lodzkiego w 2002 (teryt 100700, ur. 1971), bez mandatu. Wszystkie jego posady sa w Trojmiescie. | ZRODLO: wykaz kandydatow PKW (person_pkw, kanal oficjalny) - 17 rekordow tego imienia i nazwiska, 16 odrzuconych po dekadzie.","Czlonek rady nadzorczej PRZEDSIEBIORSTWA PRZELADUNKU PALIW PLYNNYCH ""NAFTOPORT"" sp. z o.o. (KRS 0000065348, publiczna) od 2026-08-04; potwierdzone, PESEL z cyfra 7. Wczesniej zarzad Rafinerii Gdanskiej (2025-2026), zarzad i rada nadzorcza Lotos Oil, rada nadzorcza Lotos Lab. ZRODLO: odpis aktualny KRS 0000065348, stan 04.08.2026, api-krs.ms.gov.pl","verdict=skip || TEZA: brak. || UWAGA: kariera w calosci w grupie Lotos/Orlen, bez sladu politycznego. Jedyny zgodny rocznikowo rekord PKW jest z Lodzkiego i z Samoobrony sprzed dwudziestu czterech lat - to zlaczenie na samym nazwisku i nie nalezy go robic."
61,Dariusz Młodziński,skip,"BRAK powiazania politycznego. W wykazie PKW nie ma ani jednego rekordu tego imienia i nazwiska zgodnego z dekada urodzenia, ktora wynika z PESEL-a we wpisie KRS. | ZRODLO: wykaz kandydatow PKW (person_pkw, kanal oficjalny)","Czlonek/czlonkini rady nadzorczej CENTRALNY WODOCIAG ZULAWSKI sp. z o.o. (KRS 0000185843, publiczna) od sierpnia 2026; potwierdzone, PESEL z cyfra 6. ZRODLO: odpis aktualny KRS 0000185843, stan 03.08.2026, api-krs.ms.gov.pl","verdict=skip || TEZA: brak - sama posada w spolce publicznej nie jest powiazaniem politycznym. || UWAGA: posada zostala potwierdzona w aktualnym odpisie KRS, wiec wiersz nie polegl na danych, tylko na tym, ze nie ma czego opowiedziec. Dekada z PESEL-a to jedyne sito tozsamosci, jakim dysponuje zamaskowany odpis; gdyby kiedys pojawil sie pelny PESEL, warto to przeliczyc ponownie."
62,Karolina Szelążek,skip,"BRAK powiazania politycznego. W wykazie PKW nie ma ani jednego rekordu tego imienia i nazwiska zgodnego z dekada urodzenia, ktora wynika z PESEL-a we wpisie KRS. | ZRODLO: wykaz kandydatow PKW (person_pkw, kanal oficjalny)","Prezes zarzadu ""ZAKLADU ENERGETYKI CIEPLNEJ"" sp. z o.o. (KRS 0000248123, publiczna) od 2026-08-03; potwierdzone, PESEL z cyfra 8. ZRODLO: odpis aktualny KRS 0000248123, stan 03.08.2026, api-krs.ms.gov.pl","verdict=skip || TEZA: brak - sama posada w spolce publicznej nie jest powiazaniem politycznym. || UWAGA: posada zostala potwierdzona w aktualnym odpisie KRS, wiec wiersz nie polegl na danych, tylko na tym, ze nie ma czego opowiedziec. Dekada z PESEL-a to jedyne sito tozsamosci, jakim dysponuje zamaskowany odpis; gdyby kiedys pojawil sie pelny PESEL, warto to przeliczyc ponownie."
63,Dariusz Kapusta,skip,"Jedyny rekord zgodny z dekada: kandydat KOMITETU WYBORCZEGO STOWARZYSZENIE INICJATYW SPOLECZNYCH TAK DLA STOPNICY w 2014 (teryt 260106, swietokrzyskie, ur. 1982), bez mandatu, komitet wyborcow. | ZRODLO: wykaz kandydatow PKW (person_pkw, kanal oficjalny)","Czlonek rady nadzorczej JSW IT SYSTEMS sp. z o.o. (KRS 0000083839, publiczna) od 2026-08-03; potwierdzone, PESEL z cyfra 8. Rownoczesnie czlonek zarzadu PKP TELKOL sp. z o.o. (KRS 0000504917, publiczna) od 2025-02-24 - tez potwierdzone. ZRODLO: odpis aktualny KRS 0000083839, stan 16.09.2026, api-krs.ms.gov.pl; odpis aktualny KRS 0000504917, stan 23.07.2026, api-krs.ms.gov.pl","verdict=skip || TEZA: brak powiazania politycznego. || UWAGA: wart odnotowania ze wzgledu na drugi plik z tej sesji - jest czlonkiem zarzadu PKP Telkol, spolki, ktora w infokolej-leads.csv pojawia sie przy Karolu Bielskim (rada nadzorcza wedlug GW, nieobecna w rejestrze). Jego wlasna posada w Telkolu JEST w aktualnym odpisie. Powiazanie polityczne pozostaje jednak zerowe: jedna przegrana kandydatura z lokalnego stowarzyszenia sprzed dwunastu lat, w dodatku z wojewodztwa, w ktorym nie pracuje."
64,Wojciech Wojewódzki,skip,"Dwa rekordy PKW, oba zgodne z dekada i oba z powiatu pultuskiego na Mazowszu (teryt 141503, ur. 1960): kandydatura z Krajowego Komitetu Wyborczego Przymierze Spoleczne PSL-UP-KPEiR w 1998 i z wlasnego komitetu w 2002. Spolka jest w Kotlinie Klodzkiej, 400 km dalej. | ZRODLO: wykaz kandydatow PKW (person_pkw, kanal oficjalny)","Czlonek rady nadzorczej UZDROWISK KLODZKICH SA - GRUPA PGU (KRS 0000110987, publiczna) od 2026-08-03; potwierdzone, PESEL z cyfra 6. ZRODLO: odpis aktualny KRS 0000110987, stan 03.08.2026, api-krs.ms.gov.pl","verdict=skip || TEZA: brak. || UWAGA: strona etykietuje go jako PSL na podstawie kandydatury z 1998 z komitetu Przymierze Spoleczne. Ta kandydatura jest z Mazowsza, a on pracuje na Dolnym Slasku; rocznik akurat mozliwy, ale to jest zlaczenie po samym imieniu i nazwisku na dystansie dwudziestu osmiu lat. Etykieta PSL przy tej osobie jest prawdopodobnie bledna i warto ja zweryfikowac niezaleznie od tego wiersza."
