nr,osoba,wynik,pozycja_w_kolejce,link,id,modele,wynik_bez_party_member,rejestr_io,partie,zatrudniony_od,posady,kandydatury
42,Jerzy Kazimierz Sobczuk,3.73,44,https://autopush.koryta.pl/osoba/NS03OytECaFhaWeDPaLz,NS03OytECaFhaWeDPaLz,evidence=3 pipeline=5 pipeline-capture=5 pipeline-pagerank=2 pipeline-succession=1 pipeline-turnover=3,3.73,https://rejestr.io/osoby/883656,"PSL, Polska 2050, SLD",2024-09-20,"Rada Nadzorcza @ SAMODZIELNA PUBLICZNA STACJA POGOTOWIA RATUNKOWEGO I TRANSPORTU SANITARNEGO W ZAMOŚCIU (KRS 0000077189, publiczna) 2024-09-20–nadal",2024 Samorząd KKW TRZECIA DROGA PSL-PL2050 SZYMONA HOŁOWNI WYBRANY; 2018 Samorząd KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE partia: PSL; 2014 Samorząd Koalicyjny Komitet Wyborczy SLD Lewica Razem partia: SLD; 2010 Samorząd KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE partia: PSL WYBRANY; 2006 Samorząd Komitet Wyborczy Polskiego Stronnictwa Ludowego partia: PSL; 2002 Samorząd Koalicyjny KW Sojusz Lewicy Demokratycznej - Unia Pracy partia: SLD
43,Marek Domżała,3.71,45,https://autopush.koryta.pl/osoba/8PO5BKvoJHT43INgQDEi,8PO5BKvoJHT43INgQDEi,evidence=4 pipeline=3 pipeline-capture=3 pipeline-pagerank=3 pipeline-succession=3 pipeline-together=1 pipeline-turnover=5,3.54,https://rejestr.io/osoby/244950,"PSL, Polska 2050",2015-12-30,"Rada Nadzorcza @ KUJAWSKO - POMORSKIE CENTRUM PULMONOLOGII W BYDGOSZCZY (KRS 0000063546, publiczna) 2015-12-30–nadal; Rada Nadzorcza @ CENTRUM ONKOLOGII IM. PROF. FRANCISZKA ŁUKASZCZYKA W BYDGOSZCZY (KRS 0000002329, publiczna) 2015-12-09–2020-07-17; Prokurent @ NOWY SZPITAL W NAKLE I SZUBINIE SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ (KRS 0000245671, publiczna) 2007-04-04–2007-09-05; Rada Nadzorcza @ WOJEWÓDZKI OŚRODEK TERAPII UZALEŻNIEŃ I WSPÓŁUZALEŻNIENIA W TORUNIU (KRS 0000030573, publiczna) 2005-09-14–2013-07-26",2015 Sejm Komitet Wyborczy Polskie Stronnictwo Ludowe partia: PSL; 2010 Samorząd KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE partia: PSL WYBRANY; 2004 Parlament Europejski Komitet Wyborczy Polskiego Stronnictwa Ludowego partia: PSL PKW-deklaracja: Polskie Stronnictwo Ludowe; 2024 Samorząd KKW TRZECIA DROGA PSL-PL2050 SZYMONA HOŁOWNI; 2018 Samorząd KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE partia: PSL; 2002 Samorząd KW Polskiego Stronnictwa Ludowego partia: PSL; 2014 Samorząd Komitet Wyborczy Polskie Stronnictwo Ludowe partia: PSL; 2006 Samorząd Komitet Wyborczy Polskiego Stronnictwa Ludowego partia: PSL; 1998 Samorząd Krajowy Komitet Wyborczy Przymierze Społeczne: PSL-UP-KPEiR partia: PSL; 2001 Sejm Komitet Wyborczy Polskiego Stronnictwa Ludowego partia: PSL
44,Ryszard Morawski,3.71,46,https://autopush.koryta.pl/osoba/Cd2SWYsJAawjxDWLWlld,Cd2SWYsJAawjxDWLWlld,evidence=3 pipeline=5 pipeline-capture=3 pipeline-pagerank=3 pipeline-succession=1 pipeline-turnover=4,3.71,https://rejestr.io/osoby/742685,"PSL, SLD",2015-09-03,"Rada Nadzorcza @ DOLNOŚLĄSKA AGENCJA WSPÓŁPRACY GOSPODARCZEJ (KRS 0000213275, publiczna) 2015-09-03–2019-03-06; Rada Nadzorcza @ BOGATYŃSKIE WODOCIĄGI I OCZYSZCZALNIA (KRS 0000046613, publiczna) 2011-02-04–2015-03-05",2002 Samorząd Koalicyjny KW Sojusz Lewicy Demokratycznej - Unia Pracy partia: SLD; 2018 Samorząd KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE partia: PSL; 1998 Samorząd Zarząd Unii Wolności; 2006 Samorząd Koalicyjny Komitet Wyborczy SLD+SDPL+PD+UP Lewica i Demokraci partia: SLD; 2010 Samorząd KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE partia: PSL; 1994 Samorząd; 2014 Samorząd Komitet Wyborczy Polskie Stronnictwo Ludowe partia: PSL
45,Jerzy Andrzej Michalak,3.71,48,https://autopush.koryta.pl/osoba/moiUlKsneUSk0Mun45ib,moiUlKsneUSk0Mun45ib,evidence=3 pipeline=3 pipeline-capture=4 pipeline-pagerank=3 pipeline-succession=3 pipeline-together=2 pipeline-turnover=5,3.71,https://rejestr.io/osoby/1104997,PO,2024-08-29,"Rada Nadzorcza @ SYCOWSKA GOSPODARKA KOMUNALNA (KRS 0000248217, publiczna) 2020-07-10–2024-06-10; Rada Nadzorcza @ SYCOWSKIE TOWARZYSTWO BUDOWNICTWA SPOŁECZNEGO SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ (KRS 0000049042, publiczna) 2024-06-27–nadal; Rada Nadzorcza @ MIEJSKIE PRZEDSIĘBIORSTWO KOMUNIKACYJNE (KRS 0000027173, publiczna) 2015-03-26–2018-07-31; Rada Nadzorcza @ KOLEJE DOLNOŚLĄSKIE (KRS 0000298575, publiczna) 2014-08-07–2015-04-01; Zarząd @ POLBUS-PKS (KRS 0000008042, publiczna) 2024-08-29–nadal; Rada Nadzorcza @ STOWARZYSZENIE ""RZECZPOSPOLITA SAMORZĄDNA"" (KRS 0000723501, prywatna/nieznana) 2018-04-06–2024-08-02; Rada Nadzorcza @ POLKOWICKIE CENTRUM USŁUG ZDROWOTNYCH-ZAKŁAD OPIEKI ZDROWOTNEJ SPÓŁKA AKCYJNA (KRS 0000081911, prywatna/nieznana) 2019-02-11–2024-08-21; Zarząd @ DOLNOŚLĄSKI PARK INNOWACJI I NAUKI (KRS 0000319739, prywatna/nieznana) 2023-11-21–2024-09-11; Rada Nadzorcza @ POWIATOWE CENTRUM MEDYCZNE W WOŁOWIE (KRS 0000305310, publiczna) 2019-12-16–2020-03-12",2018 Samorząd KOMITET WYBORCZY WYBORCÓW BEZPARTYJNY RUCH OBYWATELSKI JERZEGO MICHALAKA; 2024 Samorząd KW STOWARZYSZENIE „BEZPARTYJNI SAMORZĄDOWCY” PKW-deklaracja: nie należy do partii politycznej; 2018 Samorząd KOMITET WYBORCZY WYBORCÓW BEZPARTYJNY RUCH OBYWATELSKI JERZEGO MICHALAKA; 2023 Senat KOMITET WYBORCZY BEZPARTYJNI SAMORZĄDOWCY PKW-deklaracja: nie należy do partii politycznej; 2010 Samorząd KOMITET WYBORCZY WYBORCÓW RAFAŁA DUTKIEWICZA WYBRANY; 2014 Samorząd Komitet Wyborczy Platforma Obywatelska RP partia: PO; 2024 Samorząd KW STOWARZYSZENIE „BEZPARTYJNI SAMORZĄDOWCY”
46,Sławomir Antoniewski,3.70,50,https://autopush.koryta.pl/osoba/35RG8Lyha9v71gxTfwh2,35RG8Lyha9v71gxTfwh2,evidence=4 pipeline=5 pipeline-capture=3 pipeline-pagerank=2 pipeline-turnover=3,3.51,https://rejestr.io/osoby/738285,PO,2024-12-10,"Zarząd @ DOLNOŚLĄSKIE CENTRUM REHABILITACJI I ORTOPEDII SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ (KRS 0000143957, publiczna) 2024-12-10–nadal","2002 Samorząd KWW Moje Miasto; 2014 Samorząd Komitet Wyborczy Wyborców „Razem KG”; 2018 Samorząd KOALICYJNY KOMITET WYBORCZY PLATFORMA.NOWOCZESNA KOALICJA OBYWATELSKA partia: PO; 2024 Samorząd KKW KOALICJA OBYWATELSKA partia: PO PKW-deklaracja: członek partii politycznej: Platforma Obywatelska RP; 2006 Samorząd Komitet Wyborczy Wyborców ""Ogniwo"" Tomasza Kulona; 2010 Samorząd KOMITET WYBORCZY WYBORCÓW PRZYMIERZE SAMORZĄDOWE"
47,Jarosław Jan Klimaszewski,3.70,51,https://autopush.koryta.pl/osoba/AtNtzcxZHLOYnVOqLciD,AtNtzcxZHLOYnVOqLciD,evidence=4 pipeline=5 pipeline-capture=3 pipeline-pagerank=2 pipeline-turnover=3,3.51,https://rejestr.io/osoby/779370,PO,2015-11-23,"Rada Nadzorcza @ SZPITAL WOJEWÓDZKI W BIELSKU-BIAŁEJ (KRS 0000063066, publiczna) 2015-11-23–2019-11-15",1998 Samorząd Zarząd Unii Wolności; 2006 Samorząd Komitet Wyborczy Platforma Obywatelska RP partia: PO; 2018 Samorząd KOALICYJNY KOMITET WYBORCZY PLATFORMA.NOWOCZESNA KOALICJA OBYWATELSKA partia: PO PKW-deklaracja: Platforma Obywatelska Rzeczypospolitej Polskiej; 2018 Samorząd KOALICYJNY KOMITET WYBORCZY PLATFORMA.NOWOCZESNA KOALICJA OBYWATELSKA partia: PO; 2024 Samorząd KWW JAROSŁAWA KLIMASZEWSKIEGO PKW-deklaracja: członek partii politycznej: Platforma Obywatelska RP; 2018 Samorząd KOALICYJNY KOMITET WYBORCZY PLATFORMA.NOWOCZESNA KOALICJA OBYWATELSKA partia: PO PKW-deklaracja: Platforma Obywatelska Rzeczypospolitej Polskiej WYBRANY; 2024 Samorząd KWW JAROSŁAWA KLIMASZEWSKIEGO WYBRANY; 2007 Sejm Komitet Wyborczy Platforma Obywatelska RP partia: PO; 2014 Samorząd Komitet Wyborczy Platforma Obywatelska RP partia: PO; 2010 Samorząd KOMITET WYBORCZY PLATFORMA OBYWATELSKA RP partia: PO WYBRANY
48,Roman Jacek Kolek,3.70,52,https://autopush.koryta.pl/osoba/DoNzaQCsgPAa9M36hMOe,DoNzaQCsgPAa9M36hMOe,evidence=4 pipeline=5 pipeline-capture=3 pipeline-pagerank=2 pipeline-turnover=3,3.51,https://rejestr.io/osoby/612854,,2018-02-12,"Rada Nadzorcza @ UNIWERSYTECKI SZPITAL KLINICZNY W OPOLU (KRS 0000014443, publiczna) 2018-02-12–2026-01-05",2002 Samorząd KW Mniejszość Niemiecka; 1998 Samorząd Zarząd Towarzystwa Społeczno Kulturalnego Niemców na Śląsku Opolskim; 2024 Samorząd KWW ŚLĄSCY SAMORZĄDOWCY WYBRANY; 2018 Samorząd KOMITET WYBORCZY WYBORCÓW MNIEJSZOŚĆ NIEMIECKA; 2014 Samorząd Komitet Wyborczy Wyborców Mniejszość Niemiecka; 2023 Sejm KOMITET WYBORCZY WYBORCÓW MNIEJSZOŚĆ NIEMIECKA PKW-deklaracja: członek partii politycznej: Regionalna. Mniejszość z Większością; 2015 Sejm Komitet Wyborczy Wyborców Mniejszość Niemiecka; 2019 Senat KOMITET WYBORCZY WYBORCÓW MNIEJSZOŚĆ NIEMIECKA PKW-deklaracja: członek partii politycznej: Regionalna. Mniejszość z Większością
49,Joachim Jerzy Wojtala,3.70,54,https://autopush.koryta.pl/osoba/iDMDpP2pBFlADNZd4Bp8,iDMDpP2pBFlADNZd4Bp8,evidence=3 pipeline=5 pipeline-capture=4 pipeline-pagerank=2 pipeline-turnover=3,3.70,https://rejestr.io/osoby/1324199,,2014-01-15,"Zarząd @ STOWARZYSZENIE AGLOMERACJA OPOLSKA (KRS 0000485977, prywatna/nieznana) 2014-01-15–2024-06-20",2002 Samorząd KW Mniejszość Niemiecka WYBRANY; 2002 Samorząd KW Mniejszość Niemiecka; 2002 Samorząd KW Mniejszość Niemiecka; 2006 Samorząd Komitet Wyborczy Mniejszość Niemiecka; 2024 Samorząd KWW PARTNERSTWO WYBRANY; 2018 Samorząd KOMITET WYBORCZY WYBORCÓW JOACHIMA WOJTALI WYBRANY; 2014 Samorząd Komitet Wyborczy Wyborców Mniejszość Niemiecka; 2014 Samorząd Komitet Wyborczy Wyborców Mniejszość Niemiecka; 2010 Samorząd KOMITET WYBORCZY TOWARZYSTWO SPOŁECZNO-KULTURALNE NIEMCÓW NA ŚLĄSKU OPOLSKIM WYBRANY
50,Rafał Paweł Ryplewicz,3.70,55,https://autopush.koryta.pl/osoba/iNHTe4igv4DKUvBgBGZY,iNHTe4igv4DKUvBgBGZY,evidence=4 pipeline=4 pipeline-capture=2 pipeline-pagerank=2 pipeline-succession=2 pipeline-together=1 pipeline-turnover=5,3.53,https://rejestr.io/osoby/342959,PO,2025-09-10,"Rada Nadzorcza @ BESKIDZKI HURT TOWAROWY (KRS 0000144861, publiczna) 2015-03-06–2019-06-19; Zarząd @ BESKIDZKI HURT TOWAROWY (KRS 0000144861, publiczna) 2025-09-10–nadal; Rada Nadzorcza @ MIEJSKIE PRZEDSIĘBIORSTWO WODOCIĄGÓW I KANALIZACJI SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ (KRS 0000089484, publiczna) 2019-10-09–nadal",2024 Samorząd KKW KOALICJA OBYWATELSKA partia: PO WYBRANY; 2023 Sejm KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA PO .N IPL ZIELONI partia: PO PKW-deklaracja: członek partii politycznej: Platforma Obywatelska RP; 2011 Sejm Komitet Wyborczy Platforma Obywatelska RP partia: PO PKW-deklaracja: członek partii Platforma Obywatelska RP; 2018 Samorząd KOALICYJNY KOMITET WYBORCZY PLATFORMA.NOWOCZESNA KOALICJA OBYWATELSKA partia: PO; 2019 Sejm KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA PO .N IPL ZIELONI partia: PO PKW-deklaracja: członek partii politycznej: Platforma Obywatelska RP; 2015 Sejm Komitet Wyborczy Platforma Obywatelska RP partia: PO; 2014 Samorząd Komitet Wyborczy Platforma Obywatelska RP partia: PO; 2010 Samorząd KOMITET WYBORCZY PLATFORMA OBYWATELSKA RP partia: PO
51,Wojciech Nitwinko,3.70,56,https://autopush.koryta.pl/osoba/pRROfg2BsMZCWFqnWSLT,pRROfg2BsMZCWFqnWSLT,evidence=4 pipeline=4 pipeline-capture=3 pipeline-pagerank=2 pipeline-turnover=4,3.51,https://rejestr.io/osoby/547439,"Nowa Lewica, SLD",2024-05-23,"Rada Nadzorcza @ SZPITAL MIEJSKI W SIEMIANOWICACH ŚLĄSKICH SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ (KRS 0000490160, publiczna) 2019-12-20–2020-08-24; Rada Nadzorcza @ PERSPEKTYWA (KRS 0000436648, prywatna/nieznana) 2012-10-18–2015-04-20; Rada Nadzorcza @ WOJEWÓDZKI SZPITAL SPECJALISTYCZNY NR 5 IM. ŚW. BARBARY W SOSNOWCU (KRS 0000003544, publiczna) 2024-05-23–nadal",2024 Samorząd KWW PLATFORMY I LEWICY WYBRANY; 2010 Samorząd KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ partia: SLD; 2014 Samorząd Koalicyjny Komitet Wyborczy SLD Lewica Razem partia: SLD; 2015 Sejm Koalicyjny Komitet Wyborczy Zjednoczona Lewica SLD+TR+PPS+UP+Zieloni; 2023 Sejm KOMITET WYBORCZY NOWA LEWICA partia: Nowa Lewica PKW-deklaracja: członek partii politycznej: Nowa Lewica; 2018 Samorząd KOALICYJNY KOMITET WYBORCZY SLD LEWICA RAZEM partia: SLD; 2019 Sejm KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ partia: SLD PKW-deklaracja: członek partii politycznej: Sojusz Lewicy Demokratycznej
52,Stanisław Wojciech Pasoń,3.69,57,https://autopush.koryta.pl/osoba/4X3uIYhYHFWB8WAs13WU,4X3uIYhYHFWB8WAs13WU,evidence=4 pipeline=3 pipeline-capture=5 pipeline-pagerank=3 pipeline-succession=1 pipeline-turnover=4,3.51,https://rejestr.io/osoby/1350410,"PSL, Polska 2050",2024-12-23,"Rada Nadzorcza @ ELEWATOR SIERADZ (KRS 0000128488, prywatna/nieznana) 2008-05-27–2014-10-20; Rada Nadzorcza @ SZPITAL SPECJALISTYCZNY IM. JĘDRZEJA ŚNIADECKIEGO W NOWYM SĄCZU (KRS 0000029409, publiczna) 2024-12-23–nadal; Rada Nadzorcza @ SZPITAL SPECJALISTYCZNY CHORÓB PŁUC ""ODRODZENIE"" IM. KLARY JELSKIEJ (KRS 0000007565, publiczna) 2024-09-13–nadal",2019 Sejm KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE partia: PSL PKW-deklaracja: członek partii politycznej: PSL; 2018 Samorząd KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE partia: PSL; 2014 Samorząd Komitet Wyborczy Polskie Stronnictwo Ludowe partia: PSL; 2024 Samorząd KKW TRZECIA DROGA PSL-PL2050 SZYMONA HOŁOWNI WYBRANY; 2015 Sejm Komitet Wyborczy Polskie Stronnictwo Ludowe partia: PSL; 2023 Senat KOALICYJNY KOMITET WYBORCZY TRZECIA DROGA POLSKA 2050 SZYMONA HOŁOWNI - POLSKIE STRONNICTWO LUDOWE PKW-deklaracja: członek partii politycznej: Polskie Stronnictwo Ludowe
53,Emil Krzysztof Sawicki,3.67,59,https://autopush.koryta.pl/osoba/RPa6Nb3tVJIC6vVj6pUa,RPa6Nb3tVJIC6vVj6pUa,evidence=4 pipeline=4 pipeline-capture=3 pipeline-pagerank=3 pipeline-succession=2 pipeline-turnover=4,3.49,https://rejestr.io/osoby/273802,"PSL, Polska 2050",2025-04-29,"Rada Nadzorcza @ FUNDACJA ROZWOJU (KRS 0000125573, prywatna/nieznana) 2025-04-29–nadal; Rada Nadzorcza @ SAMODZIELNY ZESPÓŁ PUBLICZNYCH ZAKŁADÓW OPIEKI ZDROWOTNEJ IM. DZIECI WARSZAWY W DZIEKANOWIE LEŚNYM (KRS 0000072265, publiczna) 2024-12-31–nadal; Rada Nadzorcza @ WARSZAWSKA KOLEJ DOJAZDOWA (KRS 0000116702, prywatna/nieznana) 2024-10-15–nadal","2024 Samorząd KKW TRZECIA DROGA PSL-PL2050 SZYMONA HOŁOWNI; 2014 Samorząd Komitet Wyborczy Wyborców Celiny Szarek ""Samorząd dla mieszkańców""; 2023 Sejm KOALICYJNY KOMITET WYBORCZY TRZECIA DROGA POLSKA 2050 SZYMONA HOŁOWNI - POLSKIE STRONNICTWO LUDOWE PKW-deklaracja: członek partii politycznej: Polskie Stronnictwo Ludowe; 2018 Samorząd KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE partia: PSL; 2015 Sejm Komitet Wyborczy Polskie Stronnictwo Ludowe partia: PSL; 2019 Sejm KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE partia: PSL PKW-deklaracja: członek partii politycznej: Polskie Stronnictwo Ludowe"
54,Barbara Ewa Klatka,3.67,60,https://autopush.koryta.pl/osoba/Sq1KtquBR44MwaokXL54,Sq1KtquBR44MwaokXL54,evidence=4 pipeline=4 pipeline-capture=1 pipeline-pagerank=3 pipeline-turnover=5,3.49,https://rejestr.io/osoby/750963,PO,2025-04-25,"Zarząd @ EXPO-ŁÓDŹ (KRS 0000069123, publiczna) 2019-04-15–nadal; Zarząd @ MIEJSKA ARENA KULTURY I SPORTU (KRS 0000331683, publiczna) 2016-04-07–2019-04-09; Rada Nadzorcza @ RAWSKIE WODOCIĄGI I KANALIZACJA (KRS 0000304455, publiczna) 2025-04-25–nadal",2024 Samorząd KKW KOALICJA OBYWATELSKA partia: PO WYBRANY; 2006 Samorząd Komitet Wyborczy Platforma Obywatelska RP partia: PO; 2019 Sejm KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA PO .N IPL ZIELONI partia: PO PKW-deklaracja: członek partii politycznej: Platforma Obywatelska RP; 2024 Samorząd KKW KOALICJA OBYWATELSKA partia: PO PKW-deklaracja: członek partii politycznej: Platforma Obywatelska RP; 2018 Samorząd KOALICYJNY KOMITET WYBORCZY PLATFORMA.NOWOCZESNA KOALICJA OBYWATELSKA partia: PO; 2015 Senat Komitet Wyborczy Platforma Obywatelska RP partia: PO; 2011 Sejm Komitet Wyborczy Platforma Obywatelska RP partia: PO PKW-deklaracja: członek partii Platforma Obywatelska RP; 2018 Samorząd KOALICYJNY KOMITET WYBORCZY PLATFORMA.NOWOCZESNA KOALICJA OBYWATELSKA partia: PO PKW-deklaracja: Platforma Obywatelska Rzeczypospolitej Polskiej; 2014 Samorząd Komitet Wyborczy Platforma Obywatelska RP partia: PO; 2010 Samorząd KOMITET WYBORCZY PLATFORMA OBYWATELSKA RP partia: PO WYBRANY
55,Antoni Skura,3.67,61,https://autopush.koryta.pl/osoba/kd84IN6PJSohql27RdxD,kd84IN6PJSohql27RdxD,evidence=3 pipeline=5 pipeline-capture=5 pipeline-facts=3 pipeline-pagerank=3 pipeline-succession=1 pipeline-turnover=3,3.67,https://rejestr.io/osoby/558896,PiS,2024-09-20,"Rada Nadzorcza @ SAMODZIELNA PUBLICZNA STACJA POGOTOWIA RATUNKOWEGO I TRANSPORTU SANITARNEGO W ZAMOŚCIU (KRS 0000077189, publiczna) 2024-09-20–nadal","2010 Samorząd KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ partia: PiS WYBRANY; 1998 Samorząd Komitet Wyborczy ""Rolnicy""; 2002 Samorząd KWW Rolnicy; 2006 Samorząd Komitet Wyborczy Wyborców ""ROLNICY""; 2018 Samorząd KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ partia: PiS; 2014 Samorząd Komitet Wyborczy Prawo i Sprawiedliwość partia: PiS; 2024 Samorząd KW PRAWO I SPRAWIEDLIWOŚĆ partia: PiS WYBRANY"
56,Kacper Karol Pietrusiński,3.66,62,https://autopush.koryta.pl/osoba/1ZgRQsrelMGWwjn9roKa,1ZgRQsrelMGWwjn9roKa,evidence=3 pipeline=3 pipeline-capture=4 pipeline-pagerank=3 pipeline-succession=2 pipeline-together=2 pipeline-turnover=5,3.66,https://rejestr.io/osoby/312837,PO,2025-07-02,"Rada Nadzorcza @ MAZOWIECKIE CENTRUM STOMATOLOGII (KRS 0000338846, publiczna) 2025-07-02–nadal; Rada Nadzorcza @ MAZOWIECKIE CENTRUM LECZENIA CHORÓB PŁUC I GRUŹLICY (KRS 0000080790, publiczna) 2014-11-13–nadal; Rada Nadzorcza @ PRZEDSIĘBIORSTWO GOSPODARKI KOMUNALNEJ (KRS 0000045812, publiczna) 2019-05-09–2020-03-13; Zarząd @ STOWARZYSZENIE ""MŁODZI DEMOKRACI"" (KRS 0000104734, prywatna/nieznana) 2002-04-04–2003-01-15; Zarząd @ MAZOWIECKIE CENTRUM STOMATOLOGII (KRS 0000338846, publiczna) 2015-05-13–2024-09-25; Zarząd @ CHP ENERGIA (KRS 0000390180, publiczna) 2024-12-02–nadal; Zarząd @ BIOENERGY PROJECT (KRS 0000333366, publiczna) 2024-11-19–nadal; Rada Nadzorcza @ SAMODZIELNY PUBLICZNY ZESPÓŁ ZAKŁADÓW LECZNICTWA OTWARTEGO WARSZAWA ŻOLIBORZ-BIELANY (KRS 0000096866, publiczna) 2017-09-26–nadal; Zarząd @ ORLEN BIOMETAN (KRS 0000489878, publiczna) 2024-08-08–nadal; Zarząd @ BIOUTIL (KRS 0000400197, publiczna) 2024-10-29–nadal",2018 Samorząd KOALICYJNY KOMITET WYBORCZY PLATFORMA.NOWOCZESNA KOALICJA OBYWATELSKA partia: PO; 2002 Samorząd KW Platforma Obywatelska Rzeczypospolitej Polskiej partia: PO; 2024 Samorząd KKW KOALICJA OBYWATELSKA partia: PO; 2001 Sejm Komitet Wyborczy Wyborców Platforma Obywatelska PKW-deklaracja: nie należy do partii politycznej; 1998 Samorząd Zarząd Unii Wolności; 2014 Samorząd Komitet Wyborczy Platforma Obywatelska RP partia: PO; 2010 Samorząd KOMITET WYBORCZY PLATFORMA OBYWATELSKA RP partia: PO
57,Janusz Stanisław Kobyliński,3.66,63,https://autopush.koryta.pl/osoba/C3PyiCUjvWGwwInAWYC7,C3PyiCUjvWGwwInAWYC7,evidence=4 pipeline=3 pipeline-capture=3 pipeline-pagerank=3 pipeline-succession=2 pipeline-together=1 pipeline-turnover=5,3.49,https://rejestr.io/osoby/850914,PiS,2024-09-27,"Rada Nadzorcza @ FUNDACJA ROZWOJU REGIONU PODLASKIEGO ""EKOLAND"" W SIEDLCACH (KRS 0000059491, prywatna/nieznana) 2004-10-12–2007-05-17; Rada Nadzorcza @ ENERGA CIEPŁO OSTROŁĘKA (KRS 0000058898, prywatna/nieznana) 2018-12-14–2020-07-10; Rada Nadzorcza @ AGENCJA ROZWOJU MIASTA SIEDLCE (KRS 0000221599, publiczna) 2015-05-12–2016-12-15; Rada Nadzorcza @ PRZEDSIĘBIORSTWO KOMUNIKACJI SAMOCHODOWEJ W ŁOSICACH SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ (KRS 0000301626, publiczna) 2010-10-08–2016-08-24; Rada Nadzorcza @ PRZEDSIĘBIORSTWO USŁUG INŻYNIERYJNO-KOMUNALNYCH SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ (KRS 0000175242, publiczna) 2015-03-31–2021-03-31; Zarząd @ PEC SERWIS (KRS 0000044765, publiczna) 2024-09-27–nadal",2005 Sejm Komitet Wyborczy Prawo i Sprawiedliwość partia: PiS; 2014 Samorząd Komitet Wyborczy Wyborców Nasza Gmina Łosice; 2010 Samorząd KOMITET WYBORCZY WYBORCÓW NASZA GMINA ŁOSICE PKW-deklaracja: członek Prawa i Sprawiedliwości; 2010 Samorząd KOMITET WYBORCZY WYBORCÓW NASZA GMINA ŁOSICE PKW-deklaracja: członek Prawa i Sprawiedliwości WYBRANY; 2018 Samorząd KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ partia: PiS PKW-deklaracja: Prawo i Sprawiedliwość; 2002 Samorząd KWW Nasza Gmina WYBRANY; 2014 Samorząd Komitet Wyborczy Prawo i Sprawiedliwość partia: PiS; 2006 Samorząd Komitet Wyborczy Prawo i Sprawiedliwość partia: PiS; 2002 Samorząd KWW Nasza Gmina; 2023 Sejm KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ partia: PiS PKW-deklaracja: członek partii politycznej: Prawo i Sprawiedliwość; 2018 Samorząd KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ partia: PiS; 2024 Samorząd KW PRAWO I SPRAWIEDLIWOŚĆ partia: PiS WYBRANY; 2006 Samorząd KWW Nasza Gmina Łosice; 2010 Samorząd KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ partia: PiS WYBRANY
58,Henryk Wiktor Pinis,3.66,64,https://autopush.koryta.pl/osoba/HZI8FRGQBfznp2EcgWoB,HZI8FRGQBfznp2EcgWoB,evidence=4 pipeline=4 pipeline-capture=3 pipeline-pagerank=3,3.40,https://rejestr.io/osoby/88604,"PO, PiS, SLD",2017-07-14,"Rada Nadzorcza @ WOJEWÓDZKI ZAKŁAD OPIEKI ZDROWOTNEJ NAD MATKĄ, DZIECKIEM I MŁODZIEŻĄ (KRS 0000002371, publiczna) 2017-07-14–2020-06-02",2002 Samorząd KWW SYMPATYKÓW PRAWA I SPRAWIEDLIWOŚCI; 2018 Samorząd KOALICYJNY KOMITET WYBORCZY SLD LEWICA RAZEM partia: SLD; 1998 Samorząd Zarząd Automobilklubu Częstochowskiego; 2005 Sejm Komitet Wyborczy Ruch Patriotyczny; 2004 Parlament Europejski Komitet Wyborczy Prawo i Sprawiedliwość partia: PiS PKW-deklaracja: Prawo i Sprawiedliwość; 2014 Samorząd Komitet Wyborczy Platforma Obywatelska RP partia: PO; 2010 Samorząd KOMITET WYBORCZY PLATFORMA OBYWATELSKA RP partia: PO
