nr,osoba,werdykt,connection,post,comment
86,Marek Kos,skip,"WYBRANY 2024 Samorzad (KKW Trzecia Droga PSL-PL2050) - radny Sejmiku Wojewodztwa Lubelskiego od 2014; PKW-deklaracja 2019: czlonek Polskiego Stronnictwa Ludowego; served as wiceminister zdrowia (Deputy Minister of Health, drug-policy portfolio) 2024-2025 - one of the most politically documented people in this batch. Sole posady entry: Rada Nadzorcza @ Wojewodzki Szpital Specjalistyczny im. Stefana Kardynala Wyszynskiego SP ZOZ w Lublinie, KRS 0000003717, is_public_raw true, but krs_lookup.json (and live confirmation) marks supervisory_organ=rada_spoleczna - so despite the posady text's 'Rada Nadzorcza' label this is an unpaid social council, not a trough seat, 2020-04-23-nadal. | ZRODLO: https://pl.wikipedia.org/wiki/Marek_Kos; https://www.rynekzdrowia.pl/Polityka-zdrowotna/Wiceminister-zdrowia-Marek-Kos-z-9-tysiacami-glosow-poparcia-Dostal-sie-do-sejmiku,257179,14.html; https://lublin.tvp.pl/75171882/marek-kos-zostal-wiceministrem-zdrowia; https://cowzdrowiu.pl/aktualnosci/post/marek-kos-wiceministrem-odpowiedzialnym-za-polityke-lekowa; kandydatury field (WYBRANY 2024, PKW-deklaracja 2019); live KRS OdpisAktualny(S) 0000003717 pulled 2026-09-05.","1 post total, confirmed still current via today's live KRS pull, but it is rada_spoleczna - zero valid trough posts despite the political prominence.","verdict=skip || TEZA: Poland's own former deputy health minister, Marek Kos, has exactly one company post on record, and it is the unpaid hospital council trap 1 says not to count. || UWAGA: identity is strong (masked officer 'K**'/'M****' on the rada spoleczna roster matches KOS MAREK, hospital sits in his home region of Lublin) but the seat type is the textbook trap-1 case - do not publish regardless of how nationally prominent he is (a literal former deputy minister); skip unless a genuine paid company post surfaces separately."
87,Andrzej Grzmielewicz,ODRZUCONE,"PKW-deklaracja 2010: czlonek Prawa i Sprawiedliwosci; WYBRANY 2010 Samorzad (PiS) - re-elected Burmistrz Miasta i Gminy Bogatynia, a post he already held since winning a 2006 run-off; ran his own-name committee (KWW Andrzeja Grzmielewicza) in 2018. Sole posady entry: Rada Nadzorcza @ Centrum Sportowo Rekreacyjne sp. z o.o., KRS 0000096393 - seated in Zgorzelec (same powiat zgorzelecki as Bogatynia) - is_public_raw true, supervisory_organ=rada_nadzorcza (a genuine paid seat, not rada spoleczna), 2007-02-01 to 2008-05-08, held concurrently with his mayoralty. He was researched as likely the same 'Andrzej G., byly burmistrz Bogatyni' detained by CBSP alongside 'Slawomir Z., szef PGE Energia Odnawialna' over an official-crime/document-forgery scheme, with Slawomir Zawada being a 2010 Grzmielewicz appointee to a municipal role. | ZRODLO: https://www.polityka.pl/tygodnikpolityka/spoleczenstwo/1692988,1,bogatynia-kto-i-dlaczego-donosi-do-prezesa-kaczynskiego.read; https://www.radiowroclaw.pl/articles/view/84618/Zatrzymano-bylego-burmistrza-Bogatyni-i-szefa-PGE-Energia-Odnawialna; https://bip.bogatynia.pl/?a=9823 (confirms current successor burmistrz Wojciech Dobrolowicz); https://archiwum-bip.bogatynia.pl/?id=3541&rejestr=1&idr=7780; kandydatury field (WYBRANY 2010, PKW-deklaracja); live KRS OdpisAktualny 0000096393 pulled 2026-09-05.","1 post total in this batch's data, already ended (2008), sourced as genuinely public and genuinely rada_nadzorcza - held while he was also a sitting elected mayor.","verdict=ODRZUCONE || TEZA: A sitting PiS-declared mayor of Bogatynia held a supervisory seat on a neighbouring town's public sports company while in office, then went on to run a PGE renewables unit before a 2020s corruption arrest. || UWAGA: VERIFIER REFUTED - Checked in order: (a) Cited connection: polityka.pl 2010 article (fetched) confirms Grzmielewicz as sitting PiS burmistrz of Bogatynia and his 2006 run-off win with PiS backing; kandydatury field carries WYBRANY tags for both 2006 and 2010 Samorząd rows with PiS committees, matching. PASS for the mayor+PiS claim. The separate CBSP-arrest/PGE claim FAILS: radiowroclaw.pl article body (fetched via curl, full text extracted) uses only initials ""Andrzej G."" / ""Sławomir Z.""; full surnames appear solely in a reader comment (~Wiśniewski, 2019-02-14) - per the checklist, a reader comment does not establish identity. Article is also dated 2019-02-14 (2010s), contradicting the headline's ""2020s."" (b) Identity: uncommon surname; his own 2018 KWW Andrzeja Grzmielewicza committee bears his exact name; archiwum-bip.bogatynia.pl (2005-2006 snapshot, fetched) and bip.bogatynia.pl (current, fetched) confirm him as a former burmistrz whose successor is Wojciech Dobrołowicz; pl.wikipedia.org/wiki/Bogatynia (fetched) independently names him as burmistrz during the 2010 flood. Moderate-strong, sufficient for the mayor/board-seat identity; insufficient (comment-only) for the arrest-story identity. (c) Rada spoleczna check: krs_lookup.json for 0000096393 -> supervisory_organ: ""rada_nadzorcza"" (not rada_spoleczna). Trap 1 clear. (d) Currency: posady dates 2007-02-01 to 2008-05-08 (already ended, not marked ""nadal""). Live KRS OdpisAktualny (curl to api-krs.ms.gov.pl, fetched today) for 0000096393 lists a 3-member Rada Nadzorcza (initials K.Z./J.A./C.R.) with no G-surname member - confirms he is no longer on the board. Trap 2 clear. (e) Public ownership: krs_lookup.json - is_public_raw: true, hardcoded_reasons: [""PUBLIC_COMPANIES_KRS""], likely_public_via_hardcoded_bug: true. Live KRS odpis dzial1.wspolnicySpzoo confirms sole shareholder ""GMINA MIEJSKA ZGORZELEC"" holding 100% of udziały (""czyPosiadaCaloscUdzialow"": true). Genuinely publicly owned. (f) Dates/WYBRANY: 2006 and 2010 WYBRANY rows both independently corroborated - 2006 run-off by polityka.pl, 2010 tenure by polityka.pl and pl.wikipedia.org (2010 flood mention). 2018 candidacy (own-name KWW) is NOT marked WYBRANY in the data, consistent with Dobrołowicz being the eventual successor, and that same 2018 row carries a PiS PKW-deklaracja, undercutting the ""after leaving PiS"" framing. Files used: /home/szymon/.cache/koryta/scratch-bridge-cse-01L1v/next_hundred.json (record n=87), /home/szymon/.cache/koryta/scratch-bridge-cse-01L1v/krs_lookup.json (KRS 0000096393), /home/szymon/.cache/koryta/scratch-bridge-cse-01L1v/krs_0000096393.json (live API pull), /home/szymon/.cache/koryta/scratch-bridge-cse-01L1v/radiowroclaw.html (raw fetch of the cited Radio Wrocław article)."
88,Kazimierz Barczyk,skip,"WYBRANY 2024 Samorzad, KKW Koalicja Obywatelska (partia: PO) - sitting radny i wiceprzewodniczacy Sejmiku Wojewodztwa Malopolskiego, radny since 2006 and sejmik chairman 2010-2014; a long PO career going back through Sejm 1991 (as PC), AWS lists 1997-2001, and PO membership since 2005. | ZRODLO: https://koalicjaobywatelska.pl/kazimierz-barczyk/ (bio); https://www.portalsamorzadowy.pl/osoba/kazimierz-barczyk,310160.html (2024 sejmik candidate/mandate record); https://barczyk.pl/ (personal site, 'Wiceprzewodniczacy Sejmiku Wojewodztwa Malopolskiego'); https://pl.wikipedia.org/wiki/Kazimierz_Barczyk; live KRS API https://api-krs.ms.gov.pl/api/krs/OdpisAktualny/0000005551?rejestr=S (stan 28.03.2026)","Two posady rows, neither qualifying. One expired, private seat: Rada Nadzorcza at Walcownia Metali ""Dziedzice"" S.A. (KRS 0000084770), 2003-02-26 to 2003-12-01 - genuinely a private company (is_public_raw=false), 10-month tenure, 22 years stale. One current seat excluded as rada spoleczna: Wojewodzki Szpital Okulistyczny w Krakowie (KRS 0000005551, SPZOZ), 2024-10-30-nadal - the live register (stan 28.03.2026) names the organ literally 'RADA SPOLECZNA' with 9 masked members, so this is not a printable rada nadzorcza post despite the field label.","verdict=skip || TEZA: A sitting PO vice-chairman of the Malopolska sejmik whose only company post is a hospital rada spoleczna seat that the site's own rules exclude. || UWAGA: Well-documented and internally coherent - he chairs the very sejmik that is the podmiot tworzacy for this hospital, which is exactly why he sits on its rada spoleczna - but the live KRS API masks individual board members' names, so no single document names him personally as a member. Both posady rows fail (one private/stale, one rada spoleczna); nothing qualifies to publish."
89,Lidia Stanisława Gądek,skip,"WYBRANY 2024 Samorzad, KKW Trzecia Droga PSL-Polska 2050 Szymona Holowni - sitting radna Sejmiku Wojewodztwa Malopolskiego; WYBRANY 2011 Sejm, partia: PO - byla poslanka VII kadencji (2011-2015); also WYBRANY 2010 Samorzad on KW Platforma Obywatelska RP. | ZRODLO: https://pl.wikipedia.org/wiki/Lidia_G%C4%85dek; https://samorzad2024.pkw.gov.pl/samorzad2024/pl/sejmik_wojewodztwa/kandydat/3306812 (PKW candidate record, full name 'GĄDEK Lidia Stanisława' matches exactly); https://www.portalsamorzadowy.pl/osoba/lidia-gadek,311844.html; live KRS API https://api-krs.ms.gov.pl/api/krs/OdpisAktualny/0000030254?rejestr=S (stan 11.03.2026)","One company across two posady rows, both non-qualifying: Malopolski Szpital Chorob Pluc i Rehabilitacji im. Edmunda Wojtyly (KRS 0000030254, SPZOZ), 2012-10-02 to 2021-06-29, and again 2024-11-21-nadal. Both stints are the same organ, and the live register (stan 11.03.2026) confirms it as 'RADA SPOLECZNA' with 12 masked members - excluded under the site's rule in both instances.","verdict=skip || TEZA: A former PO Sejm deputy and current sejmik radna whose only company post is a hospital rada spoleczna seat, excluded under the site's own rule. || UWAGA: Identity is strong - the PKW candidate database uses the exact three-part name seen here, an unusual degree of match that keeps namesake risk low. But every posady row for her is the excluded seat type; there is no qualifying public-company post to hang a page on."
90,Tadeusz Pogoda,skip,"WYBRANY 2024 Samorzad, KKW Koalicja Obywatelska (partia: PO) - sitting radny Sejmiku Wojewodztwa Kujawsko-Pomorskiego (since 2018); wieloletni (1990-2018) burmistrz Swiecia z listy zalozonego przez siebie Obywatelskiego Porozumienia Samorzadowego. | ZRODLO: https://pl.wikipedia.org/wiki/Tadeusz_Pogoda; https://www.portalsamorzadowy.pl/osoba/tadeusz-pogoda,52933.html (Sejmik Wojewodztwa Kujawsko-Pomorskiego, kadencja 2024-2029); live KRS API https://api-krs.ms.gov.pl/api/krs/OdpisAktualny/0000063546?rejestr=S (stan 27.05.2026)","One posady row, non-qualifying: Rada Nadzorcza-labelled seat at Kujawsko-Pomorskie Centrum Pulmonologii w Bydgoszczy (KRS 0000063546, SPZOZ), 2025-12-18-nadal. The live register (stan 27.05.2026) names the organ 'RADA SPOLECZNA' with 7 masked members - excluded under the site's rule. No other public-company posts in the record.","verdict=skip || TEZA: A 28-year mayor turned sitting PO regional councillor whose sole company post is a hospital rada spoleczna seat, excluded under the site's own rule. || UWAGA: Heavily documented and internally coherent - founder of Obywatelskie Porozumienie Samorzadowe (1990), burmistrz Swiecie 1990-2018, radny sejmiku since 2018, re-elected 2024 on the KO/PO list - but he has exactly one company post in this record and it is the excluded seat type. The appointment (2025-12-18) also came over a year after his 2024 re-election, so it is not even tightly timed to that win."
91,Wojciech Dobrołowicz,skip,"WYBRANY 2024 Samorzad, KWW Wojciecha Dobrolowicza, PKW-deklaracja: czlonek partii politycznej Prawo i Sprawiedliwosc - sitting burmistrz Bogatyni (won a special election June 2021, re-elected 2023/2024); also a 2023 Sejm candidacy on the PiS list. | ZRODLO: https://gazetawroclawska.pl/wojciech-dobrolowicz-nowym-burmistrzem-bogatyni-wygral-w-ii-turze-z-ireneuszem-kropidlowskim/ar/c1-15686043; https://www.wprost.pl/kraj/10461555/wybory-w-bogatyni-i-w-lubaniu-kto-nowym-burmistrzem-i-wojtem.html; https://wroclaw.tvp.pl/54566285/burmistrz-bogatyni-wybrany; live KRS API https://api-krs.ms.gov.pl/api/krs/OdpisAktualny/0000056231?rejestr=S (stan 04.08.2026)","One posady row, non-qualifying: Rada Nadzorcza-labelled seat at Samodzielny Publiczny Zespol Opieki Zdrowotnej w Bogatyni (KRS 0000056231, SPZOZ), 2026-08-04-nadal, only weeks before this batch export. The live register (stan 04.08.2026) names the organ 'RADA SPOLECZNA' with 7 masked members - excluded under the site's rule. No other company posts.","verdict=skip || TEZA: The sitting PiS mayor of Bogatynia sits, in substance ex officio, on his own town hospital's rada spoleczna - the exact seat type the site excludes. || UWAGA: Identity is strong (his 2010/2018/2024 candidacies all run on the personally-named KWW Wojciecha Dobrolowicza, and press confirms he is the sitting mayor of the same town as the SPZOZ). As head of the founding local-government unit, a mayor is structurally placed on his SPZOZ's rada spoleczna under the ustawa o dzialalnosci leczniczej, so this reads as automatic incumbency rather than a discretionary reward - and it is the excluded seat type either way, so no page today despite being a case worth flagging as one where the exclusion may be masking real self-dealing."
92,Alina Bednarz,skip,"WYBRANY 2024 Samorzad, KKW Koalicja Obywatelska (partia: PO) - sitting radna Sejmiku Wojewodztwa Slaskiego (okreg nr 2: Katowice/Myslowice/Tychy, 21 080 glosow), wiceprzewodniczaca Komisji Zdrowia i Polityki Spolecznej. | ZRODLO: https://bip.slaskie.pl/sejmik_wojewodztwa/radni_sejmiku/alina-bednarz.html; https://koalicjaobywatelska.pl/alina-bednarz/; https://www.portalsamorzadowy.pl/osoba/alina-bednarz,55193.html; live KRS API https://api-krs.ms.gov.pl/api/krs/OdpisAktualny/0000102533?rejestr=S (stan 29.04.2026), https://api-krs.ms.gov.pl/api/krs/OdpisAktualny/0000064696?rejestr=S (stan 31.07.2026), https://api-krs.ms.gov.pl/api/krs/OdpisAktualny/0000057698?rejestr=S (stan 07.05.2026)","Three posady rows, all non-qualifying, all current SPZOZ hospitals in the Katowice/Tychy area confirmed rada spoleczna on the live register: Okregowy Szpital Kolejowy w Katowicach (KRS 0000102533), 2020-07-02-nadal, 10 masked members (stan 29.04.2026); Gornoslaskie Centrum Medyczne im. prof. Leszka Gieca (KRS 0000064696), 2025-01-23-nadal, 11 masked members (stan 31.07.2026); Zespol Wojewodzkich Przychodni Specjalistycznych w Katowicach (KRS 0000057698), 2023-08-28-nadal, 9 masked members (stan 07.05.2026). All three excluded under the site's rule.","verdict=skip || TEZA: A sitting PO sejmik health-commission vice-chair sits on three hospital councils at once - all of them the excluded rada spoleczna type. || UWAGA: The strongest substantive fit of this batch - vice-chair of exactly the sejmik commission (Zdrowia i Polityki Spolecznej) overseeing these institutions, and her kandydatury and BIP bio confirm the Tychy/Katowice geography matching all three hospitals - but per the site's rule none of the three seats is a countable trough post, so no page today. Worth flagging to the operator as a case combining accumulation (3 boards) with a directly relevant oversight role, should the rada-spoleczna exclusion ever be revisited - but that is a policy call, not one to make unilaterally here."
93,Artur Stanisław Bieliński,ODRZUCONE,"As drafted: Starosta Zgorzelecki (elected head of Powiat Zgorzelecki) continuously since 2010 - re-elected 2014, 2018 and 2024; PO/Koalicja Obywatelska candidate with a WYBRANY win recorded on both the 2010 and 2024 kandydatury rows. He chaired the Zgorzelec city council 2006-2010 before becoming starosta. | ZRODLO: https://bogatynia.info.pl/newsy/wiadomosci/8495-artur-bielinski-nowym-starosta-zgorzeleckim (23.11.2018, his re-election as starosta 12-9); https://zgorzelec.naszemiasto.pl/artur-bielinski-ponownie-starosta-powiatu-zgorzeleckiego/ar/c8-4892678 (2024 re-election); https://powiatzgorzelecki.pl/wydzialy/starosta-zgorzelecki/ (fetched 2026-09-05, current officeholder); https://samorzad2024.pkw.gov.pl/samorzad2024/pl/rada_powiatu/kandydat/3275832 (PKW 2024 candidate row, Rada Powiatu Zgorzeleckiego, WYBRANY, KKW Koalicja Obywatelska); https://pzn.zgorzelec.pl/o-firmie/ (confirms PZN sp. z o.o. is 100%-owned by Gmina Miejska Zgorzelec)","Four posady rows across three KRS, none currently held (all ended between 2009 and 2019, latest end date 2019-02-22): Rada Nadzorcza, Miejskie Przedsiębiorstwo Gospodarki Komunalnej (KRS 0000186967, 2009-07-30-2011-07-11); Rada Nadzorcza, Karkonoska Agencja Rozwoju Regionalnego SA (KRS 0000073772, two terms, 2007-12-05-2009-07-07 and 2017-07-21-2019-02-22 - posady mislabels this 'prywatna/nieznana' but it is genuinely public via a hardcoded-bug flag); and Zarząd (executive, not supervisory), Przedsiębiorstwo Zarządu Nieruchomościami sp. z o.o. (KRS 0000141594, Zgorzelec's 100%-gmina-owned housing manager, 2017-02-20-2018-12-03). None of the three is rada społeczna.","verdict=ODRZUCONE || TEZA: Zgorzelec's PO starosta, in continuous elected office since 2010, simultaneously sat on the supervisory board of one public company and the management board of another while running the county. || UWAGA: VERIFIER REFUTED - Fetched https://bogatynia.info.pl/newsy/wiadomosci/8495-artur-bielinski-nowym-starosta-zgorzeleckim: confirms 23.11.2018, 12-9 council vote, describes Bieliński becoming the ""new"" (""nowym"") starosta by defeating the sitting starosta Urszula Ciupak — i.e. the source itself implies he was not the incumbent, contradicting ""continuously since 2010"". Fetched https://powiatzgorzelecki.pl/wydzialy/starosta-zgorzelecki/ (today): confirms Bieliński is the current officeholder — consistent with the second, ongoing term, not with unbroken tenure since 2010. Retrieved raw wikitext of https://pl.wikipedia.org/wiki/Powiat_zgorzelecki via `curl 'https://pl.wikipedia.org/w/index.php?title=Powiat_zgorzelecki&action=raw'`, section ""Starostowie zgorzeleccy"", cited to Rudka/Gryboś-Chechelska/Smaś, ""Słownik biograficzny współczesnych starostów"" t.I, Związek Powiatów Polskich, Warszawa 2022, s.40 (PDF at https://zpp.pl/storage/files/2022-03//755037f15c314ac4ace516eaaba39ee13943.pdf): lists Mariusz Tureniec (2010-02-02–2010-11-30) → Artur Bieliński (2010-11-30–2016-03-11) → Urszula Ciupak (2016-03-11–2018-11-23) → Artur Bieliński (from 2018-11-23). Cross-checked krs_lookup.json at /home/szymon/.cache/koryta/scratch-bridge-cse-01L1v/krs_lookup.json: KRS 0000186967 (MPGK), 0000073772 (KARR), 0000141594 (PZN) all show supervisory_organ='rada_nadzorcza' (not rada_spoleczna) and likely_public_via_hardcoded_bug=true, confirming the public-ownership and trap-1 claims in the dossier are correct — only the continuity-of-office narrative is refuted. Could not reach naszemiasto.pl (403), rejestr.io (403/redirect), or the PKW samorzad2024 candidate page (client-rendered SPA, no static content) to further corroborate identity/2024 details, but the refutation does not depend on those — it rests on the Wikipedia/ZPP-sourced starosta succession list plus the batch's own cited 2018 article."
94,Jarosław Jan Janaszewski,ODRZUCONE,"As drafted: radny powiatu bełchatowskiego (wiceprzewodniczący rady, elected 2024, WYBRANY, KW Stowarzyszenia Ziemia Bełchatowska, 580 votes) and a supervisory-board (Rada Nadzorcza) member of that same association, the local ruling group aligned with starosta Jacek Zatorski. | ZRODLO: https://ddbelchatow.pl/wydarzenia/zmiany-u-sterow-miejskiej-spolki-kto-zastapil-odwolanego-prezesa/CZJ3wivSmK1s6FmXrrAn; https://ddbelchatow.pl/wydarzenia/polityczna-zemsta-czy-ciecie-kosztow-emocje-wokol-odwolania-prezesa/IokAFLsV3HBNEAg3NO5D; https://www.ebelchatow.pl/2026/07/29/szef-miejskiej-spolki-odwolany-rada-wylonila-nowego-prezesa/; live KRS API https://api-krs.ms.gov.pl/api/krs/OdpisAktualny/0000113970 (fetched 2026-09-05, stanZDnia 30.06.2026)","Two posady rows, both real (non-rada-społeczna) seats: Prezes Zarządu, Miejski Zakład Komunikacji Bełchatów (KRS 0000113970), listed 'nadal' since 2025-07-22 in the koryta record but actually recalled 2026-07-28 per press coverage - the live KRS extract simply had not caught up with the court filing; and Rada Nadzorcza, Przedsiębiorstwo Gospodarki Mieszkaniowej (KRS 0000040399), 2013-04-04-2016-08-12, long ended.","verdict=ODRZUCONE || TEZA: A Bełchatów county councillor and board member of the ruling local political association was made president of the city bus company a year after his 2024 election win — then recalled in what his own political camp called 'political revenge'. || UWAGA: VERIFIER REFUTED - Refuted at check (a) — the cited source does not say what is claimed about the association seat.

Verified facts that DO hold:
- Both KRS posts are genuinely public (krs_lookup.json: 0000040399 PGM and 0000113970 MZK both show supervisory_organ=""rada_nadzorcza"" [not rada_spoleczna, trap 1 clear] and likely_public_via_hardcoded_bug=true, hardcoded_reasons=[""LODZKIE"",""PUBLIC_COMPANIES_KRS""]).
- Live KRS API (curl https://api-krs.ms.gov.pl/api/krs/OdpisAktualny/0000113970?rejestr=P&format=json, stanZDnia 30.06.2026, numerOstatniegoWpisu 93) still shows a single-person Zarząd with initials J./J.J./PESEL-prefix-7 as sole PREZES ZARZĄDU — consistent with the person and confirming trap 2 as described: the register has not caught up with the July 2026 recall.
- Press independently confirms the MZK recall: ddbelchatow.pl ""zmiany-u-sterow..."" and ebelchatow.pl both state the Rada Nadzorcza recalled ""Jarosława Janaszewskiego"" on 28 lipca 2026 and installed chief accountant Anna Antosiak the next day (29 lipca) — dates match posady exactly (started 2025-07-22, ended ~2026-07-28).
- ddbelchatow.pl ""polityczna-zemsta-czy-ciecie-kosztow..."" independently confirms he is ""radnego Rady Powiatu w Bełchatowie"" and quotes starosta Jacek Zatorski verbatim: ""Kolejna odsłona politycznej zemsty na ludziach, którzy ośmielą się mieć inne zdanie"" — this part of the claim is solid and well-sourced (category C/H connection, radny + a party-aligned recall dispute).

What fails: I fetched the raw HTML of both ddbelchatow.pl articles directly (not just the WebFetch summarizer) and searched every occurrence of ""Rada Nadzorcza""/""Zarząd"" near his name. The ONLY sentence describing his role in Stowarzyszenie Ziemia Bełchatowska reads: ""Wczorajsze odwołanie Jarosława Janaszewskiego, członka Zarządu Stowarzyszenia Ziemia Bełchatowska, z funkcji prezesa Miejskiego Zakładu Komunikacji..."" — i.e. member of the association's ZARZĄD (executive/management board), NOT its Rada Nadzorcza (supervisory board). Every other ""Rada Nadzorcza"" mention in that article refers to MZK's own supervisory board (the company organ that fired him), not the association's. Neither of the other two press sources (ddbelchatow ""zmiany u sterow"", ebelchatow.pl) mentions his political roles at all. So the CLAIMED CONNECTION's specific assertion ""a supervisory-board member of that same association"" and the REASON's claim that ""both [ddbelchatow.pl pieces] name him as ... Rada Nadzorcza member of Stowarzyszenie Ziemia Bełchatowska"" is factually wrong — the source says the opposite organ (Zarząd, not Rada Nadzorcza).

Additionally, ""wiceprzewodniczący rady"" and the ""580 votes"" figure appear in none of the three cited articles (I searched full text for ""wiceprzewod""/""przewodnicz"" — zero hits) and I could not corroborate them via BIP/PKW (WebSearch budget for this session was exhausted after two queries). These specific details are unsourced as drafted.

This is a real, checkable error a subject could point to (""I sit on the Zarząd, not the Rada Nadzorcza, of the association"") — exactly the kind of mischaracterization the review protocol exists to catch, even though the broader connection (county radny + Stowarzyszenie Ziemia Bełchatowska Zarząd member + politically-charged MZK recall) is otherwise well documented and would likely be publishable once corrected."
95,Norbert Mastalerz,skip,"Has a real elected-office record - WYBRANY (Samorząd) in 2010 for KWW Tarnobrzeska Lewica, and WYBRANY (Samorząd) in 2024 for KKW Koalicja Obywatelska (partia: PO) - plus a documented SLD-to-PO party switch (SLD candidacies 1998-2007, then PO from 2010). But no genuine public-company post exists to pair it with: all three referenced KRS entries read supervisory_organ 'rada_spoleczna', so koryta treats this, in effect, as 'none found'. | ZRODLO: krs_lookup.json entries for KRS 0000009574, 0000042515 and 0000003145 (all three checked, all read supervisory_organ: 'rada_spoleczna')","Four posady rows across three KRS, all excluded as rada społeczna: Samodzielny Publiczny Ośrodek Rehabilitacji Leczniczej (KRS 0000009574, two terms, 2001-2011 and 2015-2019), Przychodnia Specjalistyczna w Tarnobrzegu (KRS 0000042515, 2024-11-18-nadal, likely still current in reality but moot) and Wojewódzki Szpital im. Zofii z Zamoyskich Tarnowskiej w Tarnobrzegu (KRS 0000003145, 2003-2004). Zero genuine (non-rada-społeczna) posts.","verdict=skip || TEZA: All three hospitals Mastalerz has sat on the board of are unpaid rada społeczna, not real trough posts — despite a 28-year political career spanning SLD to PO and two election wins. || UWAGA: Identity not independently corroborated this session (WebSearch quota exhausted, rejestr.io 403 to WebFetch), but this is moot since trap 1 already rules out a publishable post; revisit immediately if a future data refresh surfaces a non-rada-społeczna seat, given how strong the underlying political record is."
96,Jacek Chmarzyński,skip,"None found beyond candidacy-only: four candidacies since 1998 for three different committees/parties, none won - KWW 'Obywatelskie Porozumienie Samorządowe' (1998), KWW Wspólnota Wsi (2002), KW PiS (2018), KKW Koalicja Obywatelska/PO (2024); no WYBRANY tag on any row. | ZRODLO: krs_lookup.json entry for KRS 0000063546 (his only referenced KRS), supervisory_organ: 'rada_spoleczna'","Single posady row: Rada Nadzorcza, Kujawsko-Pomorskie Centrum Pulmonologii w Bydgoszczy (KRS 0000063546), listed 'nadal' since 2019-12-03 in the koryta record - but this is a rada społeczna per krs_lookup.json, so it is excluded and does not count as a genuine trough post. Zero genuine posts, no other KRS numbers on record.","verdict=skip || TEZA: Chmarzyński's only board seat is an unpaid hospital rada społeczna, and none of his four candidacies since 1998 — for three different committees — ever won. || UWAGA: Clean skip; identity not independently corroborated this session (WebSearch quota exhausted, rejestr.io 403 to WebFetch), but moot since the only candidate post is already excluded by trap 1."
97,Magdalena Barbara Bartkowicz,publish,"Declared PiS member per her own 2019 Sejm candidacy record ('PKW-deklaracja: członek partii politycznej: Prawo i Sprawiedliwość'), and a four-time PiS candidate (2014, 2018, 2019 Sejm, 2024). | ZRODLO: koryta kandydatury field, 2019 Sejm row, Komitet Wyborczy Prawo i Sprawiedliwość, PKW-deklaracja tag; live KRS API https://api-krs.ms.gov.pl/api/krs/OdpisAktualny/0000081748 (fetched 2026-09-05, stanZDnia 22.05.2026); live KRS API https://api-krs.ms.gov.pl/api/krs/OdpisAktualny/0000324965 (fetched 2026-09-05, stanZDnia 24.06.2026); krs_lookup.json for all 3 referenced KRS","Three posady rows / three KRS, two genuine and current-or-recent: Rada Nadzorcza, Miejskie Przedsiębiorstwo Energetyki Cieplnej sp. z o.o. w Mielcu (KRS 0000081748), 2025-02-04-nadal, confirmed still current via a live-KRS masked-name letter-count match; and Rada Nadzorcza, Przedsiębiorstwo Gospodarowania Odpadami sp. z o.o. (KRS 0000324965), 2025-03-20-2025-06-27 (roughly 44 days after the MPEC seat began), confirmed ended via live KRS, reason for leaving unknown. A third seat, Rada Nadzorcza, Wojewódzki Szpital w Tarnobrzegu (KRS 0000003145, 'nadal' since 2020-01-23), is excluded as rada społeczna and not counted toward the two genuine posts.","verdict=publish || TEZA: A declared PiS member picked up seats on two public-company boards about six and a half weeks apart in early 2025 — one of which she left again after just over three months. || UWAGA: Identity join is strong-but-circumstantial (a masked-name letter-count match on live KRS, reinforced by all three companies sitting in the same Podkarpackie sub-region/Sejm okręg 23) rather than certain - no independent PESEL/birth-year cross-check was possible, and the original 2019 PKW candidate page could not be reopened (WebSearch quota exhausted, PKW site is an unscriptable SPA). A verifier independently re-checked this and did NOT find grounds to refute it, but corrected the gap between the two board seats from 'within six weeks' to ~44 days and struck an uncorroborated comparison of the PGO exit to the Janaszewski 'political recall' pattern."
